,id,name,neighborhood_overview,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price_$,minimum_nights,maximum_nights,maximum_maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,xgb_predict_avg,rf_predict_avg
0,50904,Boutique hotel in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1 private bath,,234077,within an hour,100%,100%,t,4,4,,Historisch Centrum,,51.218575,4.398631,Room in boutique hotel,Hotel room,2,,1 private bath,,1.0,[],188.0,1,60,60,3,0,0,2015-05-06,2022-05-15,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,4,2,0,0,0.03,5.0,5.0
1,224682,Rental unit in Antwerpen · ★4.79 · 1 bedroom · 2 beds · 1 bath,"There is a paid parking lot around the corner. In case you come by train, it takes a thirty minutes walk from the station to the apartment, or you can take the subway from the central station to ''Groenplaats'' (2 mins from the apartment).",1263933,within an hour,100%,98%,t,3,3,"Antwerpen, Vlaams Gewest, Belgium",Historisch Centrum,,51.21906,4.39955,Entire rental unit,Entire home/apt,3,,1 bath,,2.0,[],167.0,2,30,30,536,87,4,2012-02-20,2023-12-17,4.79,4.83,4.83,4.91,4.91,4.97,4.74,f,2,2,0,0,3.71,4.976744186046512,4.953488372093023
2,345959,Rental unit in Antwerp · ★4.81 · 2 bedrooms · 2 beds · 1 bath,leuke residentiële buurt,1754396,within an hour,100%,93%,t,2,2,"Antwerp, Flemish Region, Belgium",Markgrave,,51.2015,4.40004,Entire rental unit,Entire home/apt,3,,1 bath,,2.0,[],66.0,3,90,1125,100,16,3,2012-05-12,2023-12-17,4.81,4.82,4.87,4.89,4.86,4.54,4.78,f,2,2,0,0,0.71,5.0,4.948275862068965
3,363155,Rental unit in Antwerp · ★4.87 · 1 bedroom · 1 bed · 1.5 baths,,1835458,within a few hours,75%,47%,f,1,1,,Amandus - Atheneum,,51.22109,4.41812,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],75.0,6,365,365,32,5,0,2012-07-02,2023-10-24,4.87,4.97,4.91,5.0,5.0,4.69,4.88,f,1,1,0,0,0.23,5.0,4.928571428571429
4,366252,Rental unit in Antwerp · ★4.63 · 1 bedroom · 1 bed · 1.5 shared baths,we live on the 5th floor on top of a bed store Nico's Slaapcenter. <br />tramstop DE LIJN = DRINK is at 50 meter,1820186,within an hour,100%,93%,t,2,4,"Antwerp, Flemish Region, Belgium",Borgerhout Intra Muros Noord,,51.21602,4.43472,Private room in rental unit,Private room,2,,1.5 shared baths,,1.0,[],45.0,1,365,1125,160,28,4,2012-03-29,2023-12-17,4.63,4.68,4.39,4.86,4.89,4.41,4.65,t,2,0,2,0,1.12,4.981651376146789,5.0
5,603545,Loft in Antwerp · ★4.81 · 1 bedroom · 1 bed · 1 bath,"Excellent location. There are plenty of great restaurants and coffee bars within walking distance. Feel free to ask me for tips <br /><br />If you have a car you can reach the freeway to Brussels (E19 and A12) in 5 minutes. Street parking is easy to find and is free from 19:00pm till 9:00am, on Sundays and Public Holidays. There is a cheap underground public parking (Indigo Parking Nationale Bank) within 50 meters, open 24/7. <br /><br />Across the street, you'll find:<br />- Pharmacy<br />- Pizza Hut take away<br />- affordable but good restaurants (e.g. Continu Food & Drinks)<br />- Bike Share Station<br />- Public transportation: bus, tram and taxi<br />- Antwerp City Park<br /><br />If you would like to get some groceries, there is a Louis Delhaize Supermarket just around the corner.<br /><br />There is a local organic bakery (the croissants there are AMAZING!) just around the corner if you want to have a delicious breakfast. There are many good restaurants within walking distance.",2987880,within an hour,100%,91%,t,1,1,"Antwerp, Flanders, Belgium",Harmonie,,51.20819,4.40597,Entire loft,Entire home/apt,1,,1 bath,,1.0,[],89.0,3,30,1125,32,6,1,2012-12-16,2023-11-30,4.81,4.87,4.81,4.97,4.91,4.94,4.69,f,1,1,0,0,0.24,5.0,4.896551724137931
6,636664,Rental unit in Antwerp · ★4.55 · 2 bedrooms · 3 beds · 1 bath,"It is a mixed cultural neighborhood.   A lot of young people moved in, providing a new vibe. New restaurants, cafes, shops pop up all the time.<br />So they call the neighborhood BOHO.<br />There is a beautiful art deco cinema turned into a cultural centre a bit further.  Check the program of 'De Roma' for concerts, films etc.<br /><br />On the ground floor of the apartment building is a handy small supermarket.  Other shops like fresh bakery, butcher, fish are around the corner on the Turnhoutsebaan.<br /><br />On Friday morning you will find local produce at the vegetable and fruit market at the church of Laar (which you can see from the terrace).<br /><br />Hop on tram 10 or go for a walk to Zurenborg neighborhood with its famous Cogels-Osylei dotted with dazzling art deco houses.",462975,within an hour,100%,96%,t,1,1,"Antwerp, Flemish Region, Belgium",Borgerhout Intra Muros Noord,,51.21749,4.43053,Entire rental unit,Entire home/apt,5,,1 bath,,3.0,[],156.0,2,365,365,122,16,0,2012-09-06,2023-10-23,4.55,4.7,4.51,4.82,4.83,4.36,4.42,f,1,1,0,0,0.89,4.918918918918919,4.945945945945946
7,685049,Home in Antwerp · ★4.67 · 1 bedroom · 1 bed · 1 bath,,3493319,within a few hours,100%,0%,f,2,3,,Oud - Berchem,,51.19382,4.41464,Private room in home,Private room,2,,1 bath,,1.0,[],85.0,2,1125,1125,3,0,0,2014-07-12,2019-11-24,4.67,5.0,4.67,5.0,4.67,4.67,4.67,f,2,0,2,0,0.03,4.666666666666667,4.666666666666667
8,772842,Loft in Antwerp · ★4.43 · 1 bedroom · 1 bath,,4050173,within an hour,100%,33%,f,1,1,,Linkeroever,,51.21843,4.38422,Entire loft,Entire home/apt,2,,1 bath,,,[],146.0,2,1125,1125,74,1,0,2013-01-04,2023-03-12,4.43,4.29,4.46,4.66,4.74,4.41,4.28,f,1,1,0,0,0.55,4.978260869565218,4.956521739130435
9,778043,Rental unit in Antwerp · ★4.67 · 1 bedroom · 1 bed · 1 bath,"Nearby you find the busy Diamond District, the cosy Zurenborg Quarter, the historic city center and the trendy Zuid District.<br /><br />All this you can easily discover by foot, bike or public transport. All is very easy accessible. If you like to bike, you will find also the city bike rental 'Velo' in front of the house.",1735092,within a day,100%,92%,f,1,1,"Antwerp, Flemish Region, Belgium",Stadspark,,51.20446428536392,4.413368812822418,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],99.0,2,14,14,85,5,0,2012-12-30,2023-10-01,4.67,4.72,4.65,4.87,4.89,4.39,4.58,f,1,1,0,0,0.64,5.0,4.955555555555556
