,Unnamed: 0,id,name,neighborhood_overview,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price_$,minimum_nights,maximum_nights,maximum_maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms,reviews_per_month,xgb_predict_avg,rf_predict_avg,spacy_predict_avg
0,0,73155,Rental unit in Rotterdam · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,"The apartment is in a quiet side street of the Witte de With. So you are near the restaurants, bars and pubs but you don't have the noise!",381163,Kim,within a day,100%,56%,t,1.0,1,"Rotterdam, South Holland, Netherlands",Stadsdriehoek,51.91683,4.48294,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],115.0,7,1125,1125,117,5,0,2011-05-29,2023-09-29,4.95,4.98,4.97,4.96,4.95,4.97,4.86,f,1,1,0,0.76,5.0,4.990909090909091,4.536363636363636
1,1,77592,Rental unit in Rotterdam · ★4.78 · 1 bedroom · 2 beds · 1 bath,,416305,Jos,,,50%,f,1.0,2,,Middelland,51.9149,4.46322,Entire rental unit,Entire home/apt,2,,1 bath,,2.0,[],150.0,2,730,730,18,0,0,2011-04-12,2022-10-02,4.78,4.72,4.78,4.89,4.61,4.83,4.56,f,1,1,0,0.12,5.0,4.9375,4.6875
2,2,101526,Condo in Rotterdam · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,"Levendige jonge buurt. Bistro op de hoek, Veel leuke winkels, Musea op loopafstand, Bioscoop, openbaar vervoer allemaal in de buurt.",531869,Loes,within a few hours,100%,100%,f,1.0,1,"Rotterdam, South Holland, Netherlands",Dijkzigt,51.91246,4.46586,Entire condo,Entire home/apt,2,,1.5 baths,,1.0,[],125.0,7,365,1125,18,6,0,2011-06-03,2023-05-14,4.83,4.88,5.0,5.0,5.0,4.88,4.81,f,1,1,0,0.12,5.0,5.0,4.588235294117647
3,3,283124,Rental unit in Rotterdam · ★4.72 · 2 bedrooms · 3 beds · 1.5 baths,Bakery (with some other basic shoppings) and snackbar around the corner.<br />Shopping street in 10 minutes walk.,132430732,Stefan,,,,f,2.0,2,"Rotterdam, South Holland, Netherlands",Overschie,51.94402,4.42511,Entire rental unit,Entire home/apt,4,,1.5 baths,,3.0,[],139.0,4,24,24,192,12,0,2012-02-01,2023-07-30,4.72,4.76,4.55,4.92,4.94,4.37,4.63,f,1,1,0,1.33,4.970802919708029,4.91970802919708,4.525547445255475
4,4,539905,Condo in Rotterdam · ★4.92 · 1 bedroom · 1 bed · 1 bath,,2652971,Michael,,,,f,1.0,1,,Kralingen Oost,51.92292,4.51435,Entire condo,Entire home/apt,2,,1 bath,,1.0,[],125.0,4,90,90,24,0,0,2012-10-13,2022-09-11,4.92,4.83,4.83,5.0,5.0,4.96,4.79,f,1,1,0,0.18,5.0,5.0,4.5
5,5,763422,Bed and breakfast in Rotterdam · ★4.81 · 1 bedroom · 1 private bath,The northern side of Rotterdam Centre is an up-coming area. Here you will find authentic old pre-war houses. The atmosphere is pleasant. There are lots of nice little restaurants.,4024319,Machteld,within an hour,100%,100%,t,2.0,3,"Rotterdam, South Holland, Netherlands",Blijdorp,51.93021,4.46853,Private room in bed and breakfast,Private room,2,,1 private bath,,,[],114.0,2,90,1125,367,41,1,2013-06-10,2023-11-30,4.81,4.89,4.9,4.95,4.93,4.89,4.78,f,1,0,0,2.86,5.0,4.96875,4.46875
6,6,878959,Rental unit in Rotterdam · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,Apartment Rotterdam Noord is situated in a quiet street in a lively neighborhood in Rotterdam Noord. In this area the most small and creative businesses in Rotterdam.,4646003,Michel,,,100%,f,1.0,1,"Rotterdam, South Holland, Netherlands",Oude Noorden,51.93319,4.47658,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],93.0,6,90,90,20,3,0,2013-03-18,2023-05-03,4.95,4.94,4.94,5.0,5.0,4.74,4.89,f,1,1,0,0.15,5.0,5.0,3.8461538461538463
7,7,880045,Boat in Rotterdam · ★4.86 · 1 bedroom · 3 beds · 1 bath,"The ship is moored in the small harbour of the former Rotterdam water company, right next to its monumental watertower. De Esch is now a residential area, a mix of modern architecture and the old water company buildings.  At walking distance (2 minutes) there is a shopping centre with a supermarket, cafe Tomtom and restaurant De Watertoren (in the watertower).  Also in the area nearby are Erasmus University, business centre Rivium, Arboretum Trompenburg and a nature walking/jogging path along the New Meuse.",4653985,Eric,within a few hours,100%,93%,t,2.0,2,"Rotterdam, Zuid holland, Netherlands",De Esch,51.91286,4.51942,Boat,Entire home/apt,6,,1 bath,,3.0,[],150.0,3,30,30,169,40,2,2013-02-10,2023-12-11,4.86,4.92,4.7,4.94,4.9,4.74,4.72,f,2,2,0,1.28,4.989690721649485,4.907216494845361,4.164948453608248
8,8,1322782,Home in Rotterdam · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,,6926282,Marion,a few days or more,40%,42%,f,3.0,4,,Nieuwe Westen,51.92127,4.4563,Private room in home,Private room,2,,1 shared bath,,1.0,[],70.0,3,8,8,132,20,0,2015-03-28,2023-10-24,4.9,4.87,4.67,4.95,4.95,4.85,4.89,f,3,0,0,1.24,4.975609756097561,4.951219512195122,4.390243902439025
9,9,1329363,Earthen home in Rotterdam · ★4.78 · 2 bedrooms · 1 bed · 1.5 shared baths,"The neighbourhood is excellent, safe and quiet.",6926282,Marion,a few days or more,40%,42%,f,3.0,4,"Rotterdam, South Holland, Netherlands",Middelland,51.91955,4.4561,Private room in earthen home,Private room,1,,1.5 shared baths,,1.0,[],50.0,3,30,30,78,23,0,2014-06-19,2023-11-06,4.78,4.81,4.63,4.9,4.85,4.86,4.83,f,3,0,0,0.67,5.0,4.982456140350878,4.368421052631579
