id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50904,Boutique hotel in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1 private bath,234077,Karin,,Historisch Centrum,51.218575,4.398631,Hotel room,188,1,3,2022-05-15,0.03,4,340,0,
224682,Rental unit in Antwerpen · ★4.79 · 1 bedroom · 2 beds · 1 bath,1263933,Kristien,,Historisch Centrum,51.21906,4.39955,Entire home/apt,167,2,536,2023-12-17,3.71,2,0,87,
345959,Rental unit in Antwerp · ★4.81 · 2 bedrooms · 2 beds · 1 bath,1754396,Marleen,,Markgrave,51.2015,4.40004,Entire home/apt,66,3,100,2023-12-17,0.71,2,295,16,
363155,Rental unit in Antwerp · ★4.87 · 1 bedroom · 1 bed · 1.5 baths,1835458,Roos,,Amandus - Atheneum,51.22109,4.41812,Entire home/apt,75,6,32,2023-10-24,0.23,1,325,5,
366252,Rental unit in Antwerp · ★4.63 · 1 bedroom · 1 bed · 1.5 shared baths,1820186,Godelieve,,Borgerhout Intra Muros Noord,51.21602,4.43472,Private room,45,1,160,2023-12-17,1.12,2,129,28,
522693,Rental unit in Antwerp · 1 bedroom · 2 beds · 1 bath,2562294,Ahome,,Historisch Centrum,51.21943,4.39815,Entire home/apt,282,2,0,,,1,0,0,
603545,Loft in Antwerp · ★4.81 · 1 bedroom · 1 bed · 1 bath,2987880,Cédric,,Harmonie,51.20819,4.40597,Entire home/apt,89,3,32,2023-11-30,0.24,1,358,6,
636664,Rental unit in Antwerp · ★4.55 · 2 bedrooms · 3 beds · 1 bath,462975,Els,,Borgerhout Intra Muros Noord,51.21749,4.43053,Entire home/apt,156,2,122,2023-10-23,0.89,1,355,16,
685049,Home in Antwerp · ★4.67 · 1 bedroom · 1 bed · 1 bath,3493319,Glenn,,Oud - Berchem,51.19382,4.41464,Private room,85,2,3,2019-11-24,0.03,2,101,0,
772842,Loft in Antwerp · ★4.43 · 1 bedroom · 1 bath,4050173,Daisy,,Linkeroever,51.21843,4.38422,Entire home/apt,146,2,74,2023-03-12,0.55,1,179,1,
778043,Rental unit in Antwerp · ★4.67 · 1 bedroom · 1 bed · 1 bath,1735092,Marc & Elizabeth,,Stadspark,51.20446428536392,4.413368812822418,Entire home/apt,99,2,85,2023-10-01,0.64,1,305,5,
791792,Loft in Antwerp · ★4.83 · 1 bedroom · 2 beds · 1 bath,3424990,Tim,,Zuid,51.20502,4.38874,Entire home/apt,91,4,6,2022-03-23,0.05,1,354,0,
813969,Rental unit in Antwerp · ★4.65 · 2 bedrooms · 3 beds · 1.5 baths,4277604,Sarah,,Sint-Andries,51.21347,4.39125,Entire home/apt,259,1,127,2023-10-24,1.22,2,7,15,
891884,Boutique hotel in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1 private bath,234077,Karin,,Historisch Centrum,51.218575,4.398631,Hotel room,180,1,3,2022-05-10,0.06,4,339,0,
891907,Rental unit in Antwerp · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,234077,Karin,,Historisch Centrum,51.218575,4.398631,Entire home/apt,214,2,24,2023-12-10,0.21,4,322,4,
959200,Rental unit in Antwerp · ★4.82 · 1 bedroom · 1 bed · 1.5 baths,4715596,Caroline & Klaas,,Borgerhout Intra Muros Noord,51.21531295776367,4.438202857971191,Entire home/apt,85,3,72,2023-08-13,0.59,3,54,4,
991824,Rental unit in Antwerp · ★4.60 · 3 bedrooms · 5 beds · 1 bath,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,77,1,332,2023-12-03,2.55,2,331,34,
1050693,Rental unit in Antwerp · ★4.61 · 3 bedrooms · 5 beds · 1 bath,5446991,Magali,,Deurne Zuid West,51.20316,4.46015,Entire home/apt,77,1,31,2023-11-19,0.25,2,332,7,
1172376,Rental unit in Antwerp · ★4.52 · 1 bedroom · 2 beds · 1 bath,6068286,Frédéric,,Zuid,51.21125,4.40108,Entire home/apt,80,3,23,2023-09-28,0.18,2,358,4,
1172507,Rental unit in Antwerp · ★4.33 · 1 bedroom · 1 bed · 1 bath,6068286,Frédéric,,Zuid,51.21174,4.39944,Entire home/apt,85,2,191,2023-08-02,1.53,2,360,3,
1184623,Loft in Antwerp · ★4.69 · 2 bedrooms · 2 beds · 3 baths,4865806,Tommie,,Eilandje,51.23006,4.40869,Entire home/apt,225,2,36,2023-05-30,0.29,2,0,2,
1227242,Boat in Antwerp · ★4.75 · 10 bedrooms · 20 beds · 2 shared baths,4193029,Jan,,Eilandje,51.22861,4.40386,Private room,83,1,60,2023-11-26,1.28,2,314,17,
