listing_id,name,neighborhood_overview,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price_$,minimum_nights,maximum_nights,maximum_maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms,reviews_per_month
73155,Rental unit in Rotterdam · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,"The apartment is in a quiet side street of the Witte de With. So you are near the restaurants, bars and pubs but you don't have the noise!",381163,within a day,100%,56%,t,1.0,1,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],115.0,7,1125,1125,117,5,0,2011-05-29,2023-09-29,4.95,4.98,4.97,4.96,4.95,4.97,4.86,f,1,1,0,0.76
77592,Rental unit in Rotterdam · ★4.78 · 1 bedroom · 2 beds · 1 bath,,416305,,,50%,f,1.0,2,Entire rental unit,Entire home/apt,2,,1 bath,,2.0,[],150.0,2,730,730,18,0,0,2011-04-12,2022-10-02,4.78,4.72,4.78,4.89,4.61,4.83,4.56,f,1,1,0,0.12
101526,Condo in Rotterdam · ★4.83 · 1 bedroom · 1 bed · 1.5 baths,"Levendige jonge buurt. Bistro op de hoek, Veel leuke winkels, Musea op loopafstand, Bioscoop, openbaar vervoer allemaal in de buurt.",531869,within a few hours,100%,100%,f,1.0,1,Entire condo,Entire home/apt,2,,1.5 baths,,1.0,[],125.0,7,365,1125,18,6,0,2011-06-03,2023-05-14,4.83,4.88,5.0,5.0,5.0,4.88,4.81,f,1,1,0,0.12
283124,Rental unit in Rotterdam · ★4.72 · 2 bedrooms · 3 beds · 1.5 baths,Bakery (with some other basic shoppings) and snackbar around the corner.<br />Shopping street in 10 minutes walk.,132430732,,,,f,2.0,2,Entire rental unit,Entire home/apt,4,,1.5 baths,,3.0,[],139.0,4,24,24,192,12,0,2012-02-01,2023-07-30,4.72,4.76,4.55,4.92,4.94,4.37,4.63,f,1,1,0,1.33
539905,Condo in Rotterdam · ★4.92 · 1 bedroom · 1 bed · 1 bath,,2652971,,,,f,1.0,1,Entire condo,Entire home/apt,2,,1 bath,,1.0,[],125.0,4,90,90,24,0,0,2012-10-13,2022-09-11,4.92,4.83,4.83,5.0,5.0,4.96,4.79,f,1,1,0,0.18
763422,Bed and breakfast in Rotterdam · ★4.81 · 1 bedroom · 1 private bath,The northern side of Rotterdam Centre is an up-coming area. Here you will find authentic old pre-war houses. The atmosphere is pleasant. There are lots of nice little restaurants.,4024319,within an hour,100%,100%,t,2.0,3,Private room in bed and breakfast,Private room,2,,1 private bath,,,[],114.0,2,90,1125,367,41,1,2013-06-10,2023-11-30,4.81,4.89,4.9,4.95,4.93,4.89,4.78,f,1,0,0,2.86
878959,Rental unit in Rotterdam · ★4.95 · 1 bedroom · 1 bed · 1.5 baths,Apartment Rotterdam Noord is situated in a quiet street in a lively neighborhood in Rotterdam Noord. In this area the most small and creative businesses in Rotterdam.,4646003,,,100%,f,1.0,1,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],93.0,6,90,90,20,3,0,2013-03-18,2023-05-03,4.95,4.94,4.94,5.0,5.0,4.74,4.89,f,1,1,0,0.15
880045,Boat in Rotterdam · ★4.86 · 1 bedroom · 3 beds · 1 bath,"The ship is moored in the small harbour of the former Rotterdam water company, right next to its monumental watertower. De Esch is now a residential area, a mix of modern architecture and the old water company buildings.  At walking distance (2 minutes) there is a shopping centre with a supermarket, cafe Tomtom and restaurant De Watertoren (in the watertower).  Also in the area nearby are Erasmus University, business centre Rivium, Arboretum Trompenburg and a nature walking/jogging path along the New Meuse.",4653985,within a few hours,100%,93%,t,2.0,2,Boat,Entire home/apt,6,,1 bath,,3.0,[],150.0,3,30,30,169,40,2,2013-02-10,2023-12-11,4.86,4.92,4.7,4.94,4.9,4.74,4.72,f,2,2,0,1.28
1322782,Home in Rotterdam · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,,6926282,a few days or more,40%,42%,f,3.0,4,Private room in home,Private room,2,,1 shared bath,,1.0,[],70.0,3,8,8,132,20,0,2015-03-28,2023-10-24,4.9,4.87,4.67,4.95,4.95,4.85,4.89,f,3,0,0,1.24
1329363,Earthen home in Rotterdam · ★4.78 · 2 bedrooms · 1 bed · 1.5 shared baths,"The neighbourhood is excellent, safe and quiet.",6926282,a few days or more,40%,42%,f,3.0,4,Private room in earthen home,Private room,1,,1.5 shared baths,,1.0,[],50.0,3,30,30,78,23,0,2014-06-19,2023-11-06,4.78,4.81,4.63,4.9,4.85,4.86,4.83,f,3,0,0,0.67
1403364,Boat in Rotterdam · ★4.69 · 1 bedroom · 1 bed · 1 bath,Trendy and dynamic neighbourhood 'Witte de Wihtstraat' is just around the corner.<br />Supermarket SPAR  5 minutes walking.<br />there are lots of things to do here close by.,7574324,within an hour,100%,100%,t,3.0,3,Boat,Entire home/apt,2,,1 bath,,1.0,[],80.0,2,7,1125,555,84,3,2013-11-05,2023-12-16,4.69,4.75,4.77,4.8,4.79,4.88,4.61,t,2,2,0,4.5
1419544,Rental unit in Rotterdam · ★4.25 · 2 bedrooms · 2 beds · 1.5 baths,"Teilingerstraat is a quiet, lush, lovely street with neighborhood restaurants, bar and convenience stores. The street has a wide pedestrian area covered by trees and ideal for sit outs.",52802754,,,,f,1.0,1,Entire rental unit,Entire home/apt,2,,1.5 baths,,2.0,[],75.0,56,60,60,20,0,0,2015-07-31,2021-05-23,4.25,4.15,3.7,4.5,4.35,4.75,4.15,f,1,1,0,0.2
1436796,Hostel in Rotterdam · ★4.79 · 1 bedroom · 8 beds · 3 shared baths,"You won’t find us on a busy bar street — at Ani&Haakien you’ll get a good night’s sleep - but no worries, the young and bustling Central District area of Rotterdam with good coffee places, awesome design shops, rooftop bars, jazz and the electronic night life is just a dance away! So, forget about walking around with your heavy bag… drop it at the hostel, and let us tell you all about the cool stuff to do in Rotterdam. Hostel Ani & Haakien is the perfect hub for day trips! Just 10min to Delft / 40min to Amsterdam / 40min to Utrecht and 20min to The Hague!",7718807,within a few hours,100%,49%,f,5.0,5,Shared room in hostel,Shared room,8,,3 shared baths,,8.0,[],35.0,1,1125,1125,56,3,0,2016-02-21,2023-11-18,4.79,4.82,4.73,4.82,4.84,4.91,4.73,f,5,0,5,0.59
1439548,Hostel in Rotterdam · ★4.72 · 1 bedroom · 12 beds · 1.5 shared baths,"You won’t find us on a busy bar street — at Ani&Haakien you’ll get a good night’s sleep<br />But no worries, the young and bustling Central District area of Rotterdam with good coffee places, awesome design shops and bars are really nearby! Drop your heavy bags at the hostel, and let us tell you all about the cool stuff to do in Rotterdam. Hostel Ani & Haakien is the perfect hub for day trips! Just 10min to Delft / 40min to Amsterdam / 40min to Utrecht and 20min to The Hague!",7718807,within a few hours,100%,49%,f,5.0,5,Shared room in hostel,Shared room,12,,1.5 shared baths,,12.0,[],35.0,1,31,31,167,8,0,2013-09-06,2023-11-10,4.72,4.78,4.75,4.83,4.84,4.81,4.7,f,5,0,5,1.33
1504950,Barn in Rotterdam · ★4.90 · 2 bedrooms · 4 beds · 1.5 baths,"Het Guesthouse is gelegen aan de rand van het Schiebroekse park waar je heerlijk kunt wandelen, hardlopen en fietsen. Families met kleine kinderen vinden op loopafstand van Guesthouse familiepark Plaswijckpark! In Rotterdam Hillegersberg zijn tal van leuke winkels en restaurantjes te vinden.",8040675,within a day,100%,81%,t,1.0,1,Barn,Entire home/apt,5,,1.5 baths,,4.0,[],138.0,7,1125,1125,124,13,0,2014-10-13,2023-11-09,4.9,4.93,4.92,4.91,4.95,4.84,4.76,f,1,1,0,1.11
1634923,Houseboat in Rotterdam · ★4.74 · 1 bedroom · 1 bed · 1 bath,Trendy and dynamic neighbourhood 'Witte de Withstraat' is just around the corner.<br />Supermarket SPAR  5 minutes walking.<br />there are lots of things to do in this area..,7574324,within an hour,100%,100%,t,3.0,3,Houseboat,Entire home/apt,2,,1 bath,,1.0,[],79.0,2,7,1125,263,77,4,2016-01-03,2023-12-17,4.74,4.8,4.78,4.83,4.8,4.92,4.63,f,2,2,0,2.71
1705269,Condo in Rotterdam · ★4.63 · 1 bedroom · 1 bed · 1.5 baths,"I'm located in Rotterdam West, at about a 5-minute bike ride away from the Central Station and about 10 minutes from downtown Rotterdam. It's a great neighborhood with an excellent mix of residential and commercial areas,  lots of young families, creatives, and people from all over. There's plenty of green space around, as well as nice restaurants and bars all within walking and biking distance.",9001123,,,50%,f,1.0,1,Entire condo,Entire home/apt,1,,1.5 baths,,1.0,[],,21,130,130,19,2,0,2013-10-22,2023-10-30,4.63,4.67,4.61,4.94,5.0,4.83,4.44,f,1,1,0,0.15
1790922,Rental unit in Rotterdam · ★4.32 · 1 bedroom · 1 bed · 1 bath,,9396518,within an hour,90%,100%,f,1.0,1,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,[],103.0,1,1125,1125,25,25,0,2023-05-20,2023-10-29,4.32,4.28,4.52,4.92,4.76,4.48,4.12,t,1,1,0,3.44
1839719,Boat in Rotterdam · ★4.87 · 8 bedrooms · 22 beds · 3 baths,"Het historisch scheepvaartkwartier is een mooi dorp in Rotterdam centrum.<br />Prachtige uitzichten, veel groen, fijn wandelen en uitgaan.",9614440,within an hour,100%,97%,f,3.0,3,Boat,Entire home/apt,16,,3 baths,,22.0,[],525.0,2,30,30,53,13,1,2016-05-29,2023-11-26,4.87,4.75,4.55,4.79,4.94,5.0,4.75,f,2,2,0,0.58
2007748,Rental unit in Rotterdam · ★4.81 · 2 bedrooms · 2 beds · 1.5 baths,"Lots of water, ports, activities. Architectual area. very central, lovely parc behind the building.",10333630,,,0%,f,1.0,1,Entire rental unit,Entire home/apt,4,,1.5 baths,,2.0,[],,121,730,730,21,0,0,2014-01-04,2021-08-30,4.81,4.71,4.71,4.9,4.81,4.86,4.62,f,1,1,0,0.17
2097520,Rental unit in Rotterdam · ★4.77 · 1 bedroom · 2 beds · 1 bath,"ACTIVITIES<br />Rotterdam knows lots of summer festivals and other outings. Especially the smaller festivals are a good occasion to come to Rotterdam and stay at our B & B. In the mini apartment you will find all kinds of brochures, a map of Rotterdam and a calendar with lots of activities. In the park Heemraadsingel, around the corner from Casa La Rosa, the Singelding is located, a cozy place to drink a cup of coffee or to take part to the activities it organizes. In addition, keep yourself up to date with the workshops on healthy cooking that Fabiana organizes through her blog byebyesalsiccia.",10698794,,,100%,f,1.0,1,Entire rental unit,Entire home/apt,2,,1 bath,,2.0,[],78.0,10,1125,1125,202,1,0,2014-02-10,2023-01-23,4.77,4.85,4.71,4.88,4.92,4.59,4.74,f,1,1,0,1.68
2211519,Rental unit in Rotterdam · ★4.88 · 1 bedroom · 1 bed · 1.5 baths,"Welcome to Rubroek, the hidden gem of Rotterdam that's just waiting for you to explore its delights. Get ready to immerse yourself in my neighbourhood where creativity, vintage charm and urban energy converge into a symphony of awesomeness.<br />As you stroll through the streets, you'll find artisinal coffee shops that rival the coolest cafes in the world. Grab a cup of meticulously brewed coffee or a unique herbal tea blend, and take a seat at a wooden table that's practically begging for your indie novel or sketchbook.<br />Vitage affecionados, this neighbourhood has your name written all over it. Explore thrift stores and boutiques that are filled with retro treasures waiting to be discovered.<br />And when the sun sets, the energy of Rubroek transforms yet again.<br />Imagine trendy eateries illuminated by fairy lights, bustling with laughter and conversation. Try unique fusion cuisine or savor artsanal pizza.<br />( list included in house manual).",11266043,,,100%,f,1.0,1,Entire rental unit,Entire home/apt,2,,1.5 baths,,1.0,[],,2,2,2,67,1,0,2014-05-19,2023-08-27,4.88,4.94,4.88,4.93,4.97,4.9,4.84,f,1,1,0,0.57
2317332,Rental unit in Rotterdam · ★4.87 · 2 bedrooms · 4 beds · 1.5 baths,"The neighbourhood is multi cultural with a wide variety of shops, restaurants and take aways. <br />People are easy going and my quests are mostly positive surpriced.",11834678,within an hour,100%,97%,t,1.0,1,Entire rental unit,Entire home/apt,5,,1.5 baths,,4.0,[],90.0,1,60,60,387,24,0,2015-05-02,2023-08-13,4.87,4.89,4.85,4.95,4.94,4.77,4.78,f,1,1,0,3.68
